2000	4.80E-05	0.00038486	0.00090123	0.0002018	0.00014984	9.33E-08	4.67E-08	1.91E-06	5.64E-05	5.60E-07	9.47E-06	0.00018855	1.26E-05	1.07E-06	0.00033772	0.00012412	0.00013181	0.00012496	0.00087688	0.00087704	8.09E-05	4.29E-05	0.00048889	0.00015622	9.53E-05	0.00030137	0.00060744	0	0.00013167	0.00017514	0.00010991	2.18E-05	0.00036537	0.00078349	0.0010738	0.00058891	5.82E-05	9.57E-05	0.00054442	0.00035191	1.05E-05
1998	4.70E-05	0.0003759	0.00085998	0.0002018	0.00014984	2.67E-06	1.08E-06	6.69E-07	7.00E-05	1.32E-05	1.91E-05	0.00018855	5.33E-06	2.44E-05	0.00033772	0.00012412	0.00012185	0.00012496	0.00087688	0.00087704	7.83E-05	4.29E-05	0.00050641	0.00016205	0.00010058	0.00030137	0.00058966	6.13E-07	0.00011548	0.00017917	0.00010825	1.85E-05	0.00037083	0.00077183	0.001068	0.00058608	5.82E-05	9.57E-05	0.00055325	0.00034975	1.05E-05
1996	6.62E-05	0.000357	0.00079752	0.00020499	0.00014801	1.17E-05	2.96E-06	7.64E-06	7.25E-05	2.64E-05	2.02E-05	0.00019996	9.12E-06	4.21E-05	0.00033202	0.00011902	0.00010319	0.00012998	0.00088298	0.00084512	7.17E-05	3.90E-05	0.00050121	0.0001469	9.67E-05	0.00030698	0.00058374	9.63E-06	0.0001087	0.00019333	0.00011112	2.44E-05	0.00034724	0.00075912	0.001047	0.00057877	5.80E-05	0.00010297	0.00055733	0.00034628	3.64E-08
1994	9.90E-05	0.00035803	0.00073276	0.00020523	0.00015607	2.48E-05	1.06E-05	4.37E-06	9.26E-05	3.07E-05	2.26E-05	0.00019487	9.53E-06	6.22E-05	0.00032743	0.00011407	0.000105	0.00011667	0.0008972	0.00085657	7.64E-05	3.51E-05	0.00051158	0.00013056	0.00010389	0.0003308	0.00057314	1.63E-05	0.00012632	0.00020426	0.00011153	2.51E-05	0.00034963	0.00075858	0.0010526	0.00060026	5.32E-05	0.0001068	0.00056259	0.0003399	3.84E-06
1992	0.0001088	0.0003655	0.00066322	0.00021242	0.00015744	3.09E-05	1.48E-05	1.78E-06	8.49E-05	4.35E-05	2.70E-05	0.00019213	9.14E-06	9.54E-05	0.00031044	0.00011544	0.00010264	0.00010707	0.00090265	0.00084456	7.11E-05	3.83E-05	0.00052194	0.00014	0.00011419	0.00035407	0.00057311	2.58E-05	0.00013382	0.00021236	0.00010783	1.42E-05	0.00035183	0.00074828	0.0010415	0.00060778	5.94E-05	0.00010093	0.00054114	0.00033089	2.79E-05
1990	8.64E-05	0.00037124	0.00058048	0.00021735	0.00014882	4.39E-05	1.64E-05	9.17E-06	8.64E-05	6.01E-05	3.17E-05	0.00020894	1.80E-05	0.00012355	0.00030386	0.00010822	8.83E-05	0.00010692	0.00089789	0.00084953	5.84E-05	4.26E-05	0.00053185	0.00013914	0.00011269	0.00035608	0.00056662	3.53E-05	0.000128	0.00022147	0.00010439	1.12E-05	0.0003433	0.00073029	0.0010175	0.00060614	6.46E-05	0.00010108	0.00055324	0.00031522	2.64E-05
1988	5.66E-05	0.00038951	0.00048592	0.0002107	0.00013828	6.35E-05	1.15E-05	2.25E-05	7.75E-05	7.02E-05	3.51E-05	0.00022355	1.40E-05	0.00014952	0.00031201	0.00011043	7.75E-05	9.64E-05	0.00089714	0.00083059	4.54E-05	4.84E-05	0.00053907	0.00013372	0.00010554	0.00036659	0.00055319	4.05E-05	0.00012946	0.00023488	0.00010981	1.20E-05	0.00033288	0.00070236	0.00098197	0.00058705	6.91E-05	0.00011029	0.00056937	0.00030627	3.17E-05
1986	4.27E-05	0.00040451	0.0004001	0.00020373	0.00013455	7.42E-05	1.39E-05	2.13E-05	7.41E-05	8.08E-05	3.92E-05	0.00021227	2.08E-06	0.00018008	0.00031655	0.000113	7.71E-05	8.77E-05	0.00089945	0.00083582	5.44E-05	5.01E-05	0.00053711	0.00012671	0.00010792	0.00037709	0.00053842	4.40E-05	0.00013344	0.00024122	0.00011322	1.23E-05	0.00033556	0.00068364	0.00096703	0.00057686	6.27E-05	0.00011036	0.00058095	0.00030425	4.44E-05
1984	4.14E-05	0.00039173	0.00032746	0.00020809	0.000137	7.73E-05	1.77E-05	2.10E-05	6.95E-05	8.67E-05	4.37E-05	0.0002	5.48E-06	0.00021258	0.00030781	0.00011191	8.16E-05	9.21E-05	0.00090578	0.00081853	6.27E-05	4.34E-05	0.00052703	0.00012371	0.00010966	0.00038222	0.00053275	5.00E-05	0.00012725	0.000244	0.00011566	1.16E-05	0.00032829	0.00067189	0.00095355	0.00057268	5.70E-05	0.00010191	0.00057811	0.00029663	5.22E-05
1982	4.35E-05	0.00038045	0.000277	0.0002097	0.00013649	7.88E-05	1.99E-05	1.94E-05	7.92E-05	9.27E-05	4.74E-05	0.00020281	1.90E-05	0.00024238	0.00029591	0.000108	8.57E-05	9.65E-05	0.00090474	0.00081556	6.76E-05	3.32E-05	0.00052748	0.00012191	0.00010672	0.0003853	0.00052327	5.53E-05	0.00011064	0.00024552	0.00011121	7.86E-06	0.00031969	0.00065679	0.00092755	0.00056831	5.88E-05	9.77E-05	0.00058335	0.0002921	4.79E-05
